city_name,subdivision_id,house_number,street,lat,lon,osm_id
San Diego,La Jolla,4606,Main St,32.63916755614104,-117.26923862144245,node/100000
San Diego,La Jolla,1524,India St,32.74284775373471,-117.30156519615547,node/100001
San Diego,La Jolla,3911,University Ave,32.71730658643101,-117.30313920909485,node/100002
San Diego,North Park,6973,India St,32.63183218661221,-117.13432029483724,node/100003
San Diego,Downtown,7024,Market St,32.66777515495539,-117.26445615005647,node/100004
San Diego,Mission Valley,1619,Broadway,32.6796781901912,-117.20340618585462,node/100005
San Diego,Mission Valley,4433,Kettner Blvd,32.807838481982316,-117.09218046399187,node/100006
San Diego,La Jolla,1391,Adams Ave,32.73131218938197,-117.06227860072411,node/100007
San Diego,Mission Valley,3250,Kettner Blvd,32.77707155086448,-117.2973526849033,node/100008
San Diego,North Park,1407,El Cajon Blvd,32.82229531630454,-117.05115489997343,node/100009
San Diego,Point Loma,7528,El Cajon Blvd,32.75640533327932,-117.20165034630898,node/100010
San Diego,Mission Valley,3532,Park Blvd,32.76675255231331,-117.10055390596244,node/100011
San Diego,La Jolla,2903,Kettner Blvd,32.72594196310891,-117.23765672245457,node/100012
San Diego,Clairemont,4522,Adams Ave,32.86255700519098,-117.11910007204378,node/100013
San Diego,North Park,1016,Park Blvd,32.63441442158923,-117.30146992682879,node/100014
San Diego,Mission Valley,4486,Adams Ave,32.58555658156346,-117.03715916274435,node/100015
San Diego,Mission Valley,8279,University Ave,32.684389570318196,-117.03673572307784,node/100016
San Diego,Clairemont,4439,Market St,32.60758909585765,-117.08760330537253,node/100017
San Diego,Hillcrest,7119,Kettner Blvd,32.83504686508074,-117.19127984845788,node/100018
San Diego,North Park,8448,Market St,32.71375475046689,-117.08436535273988,node/100019
San Diego,La Jolla,2721,Market St,32.803323809308885,-117.1844520099601,node/100020
San Diego,La Jolla,6352,Adams Ave,32.74446652850833,-117.1706850336646,node/100021
San Diego,Hillcrest,288,India St,32.769785023076956,-117.2767344771049,node/100022
San Diego,Hillcrest,1927,Park Blvd,32.653750038594225,-117.2636526736966,node/100023
San Diego,Downtown,8301,El Cajon Blvd,32.79428865971562,-117.15879549761871,node/100024
San Diego,La Jolla,8417,El Cajon Blvd,32.74839106343145,-117.26524821943511,node/100025
San Diego,Pacific Beach,8789,India St,32.84124804831871,-117.13141662466194,node/100026
San Diego,Clairemont,1932,Main St,32.844429584879386,-117.04748343665305,node/100027
San Diego,Hillcrest,1049,University Ave,32.637961477734166,-117.14089291689334,node/100028
San Diego,La Jolla,8062,Broadway,32.810506976026026,-117.0177046518968,node/100029
San Diego,Pacific Beach,7887,Market St,32.84975460391149,-117.26156191230777,node/100030
San Diego,Point Loma,8935,University Ave,32.79227955899074,-117.10413971037012,node/100031
San Diego,Hillcrest,6218,Adams Ave,32.69713002517435,-117.15582724768933,node/100032
San Diego,La Jolla,3781,University Ave,32.5849077688979,-117.30478972199789,node/100033
San Diego,North Park,3708,Kettner Blvd,32.56785725169553,-117.09874771603546,node/100034
San Diego,Downtown,1204,University Ave,32.837326003901836,-117.05320937992389,node/100035
San Diego,La Jolla,3999,India St,32.64924317918936,-117.16547565025486,node/100036
San Diego,Pacific Beach,9540,Kettner Blvd,32.70750130789354,-117.07571417271278,node/100037
San Diego,Point Loma,1645,University Ave,32.59477924426864,-117.18178464527809,node/100038
San Diego,Point Loma,7751,Adams Ave,32.82485102451088,-117.29484864383035,node/100039
San Diego,La Jolla,6696,Main St,32.784164076532356,-117.07092224674149,node/100040
San Diego,La Jolla,3239,University Ave,32.62276267253224,-117.17651593565006,node/100041
San Diego,Point Loma,4663,Market St,32.70448842052029,-117.04875421377884,node/100042
San Diego,La Jolla,9116,Washington St,32.59507261846048,-117.11545653180045,node/100043
San Diego,Downtown,3972,Broadway,32.615593333181174,-117.16540766236479,node/100044
San Diego,North Park,1060,Adams Ave,32.61509113642045,-117.31045338649457,node/100045
San Diego,Point Loma,7554,El Cajon Blvd,32.651274768684075,-117.10212254891995,node/100046
San Diego,Clairemont,3211,Market St,32.65471234764837,-117.02048719050926,node/100047
San Diego,Downtown,1036,Park Blvd,32.58074270117918,-117.16806344486733,node/100048
San Diego,Pacific Beach,8420,Main St,32.58973343957217,-117.2553525117058,node/100049
San Diego,La Jolla,6715,University Ave,32.60166598418414,-117.04401380576117,node/100050
San Diego,North Park,9840,Kettner Blvd,32.577622498686715,-117.28650497835154,node/100051
San Diego,Mission Valley,3446,El Cajon Blvd,32.76661779243095,-117.21684484116133,node/100052
San Diego,Hillcrest,2244,Adams Ave,32.76720706688799,-117.22110087606038,node/100053
San Diego,Mission Valley,252,Broadway,32.70318565678557,-117.01156366774367,node/100054
San Diego,La Jolla,8908,Broadway,32.62964629368011,-117.23153987557488,node/100055
San Diego,Mission Valley,4102,Broadway,32.676558126621664,-117.26377595029284,node/100056
San Diego,Hillcrest,8766,Kettner Blvd,32.56804693214565,-117.06596875946536,node/100057
San Diego,Hillcrest,2300,Broadway,32.64503977644614,-117.04418618789829,node/100058
San Diego,Pacific Beach,4716,El Cajon Blvd,32.747148948109064,-117.09581634385836,node/100059
San Diego,North Park,8380,El Cajon Blvd,32.71225955564481,-117.0394990526762,node/100060
San Diego,Downtown,7039,Broadway,32.814504426811666,-117.29787397146029,node/100061
San Diego,Mission Valley,4391,Market St,32.614174592882165,-117.17854934644176,node/100062
San Diego,Point Loma,258,India St,32.5992621641768,-117.02758471828601,node/100063
San Diego,Pacific Beach,690,India St,32.816078505965805,-117.13634713005307,node/100064
San Diego,Pacific Beach,2188,Adams Ave,32.57824865745066,-117.20170454540182,node/100065
San Diego,Downtown,3541,Park Blvd,32.77032000649317,-117.11101997680935,node/100066
San Diego,Mission Valley,6758,India St,32.85785110679119,-117.08625671665695,node/100067
San Diego,North Park,3000,Market St,32.83012486139899,-117.30366409143055,node/100068
San Diego,Mission Valley,4165,Adams Ave,32.64574171287834,-117.07488764725936,node/100069
San Diego,La Jolla,734,Adams Ave,32.82327797540133,-117.2443698847363,node/100070
San Diego,Clairemont,5100,Park Blvd,32.811860914291465,-117.0497030892411,node/100071
San Diego,North Park,3264,Main St,32.68523979356943,-117.2275190816931,node/100072
San Diego,La Jolla,5853,El Cajon Blvd,32.75814452158229,-117.19119648469199,node/100073
San Diego,Mission Valley,1989,Main St,32.828811523472666,-117.23273544108294,node/100074
San Diego,Hillcrest,1876,Main St,32.74467137649632,-117.20739386649606,node/100075
San Diego,Mission Valley,8479,Adams Ave,32.6003937352088,-117.04124858012665,node/100076
San Diego,North Park,827,El Cajon Blvd,32.77833558515025,-117.31059261653442,node/100077
San Diego,North Park,7166,Park Blvd,32.58669214333789,-117.11182869452662,node/100078
San Diego,Mission Valley,5243,Kettner Blvd,32.764716242879665,-117.2737124053007,node/100079
San Diego,Hillcrest,5167,India St,32.765767871231716,-117.21324512854278,node/100080
San Diego,Hillcrest,2185,India St,32.623252027897045,-117.11162116973617,node/100081
San Diego,Point Loma,9424,Market St,32.655984962369665,-117.14671883605929,node/100082
San Diego,Downtown,4800,El Cajon Blvd,32.628754805464794,-117.07537235175673,node/100083
San Diego,Mission Valley,7338,Washington St,32.69834793979144,-117.24698957970327,node/100084
San Diego,Clairemont,1489,Market St,32.65083592149791,-117.1119438491085,node/100085
San Diego,Mission Valley,3948,Broadway,32.76753870116715,-117.24370780020082,node/100086
San Diego,North Park,500,Market St,32.57956411542783,-117.01591919316544,node/100087
San Diego,La Jolla,6890,Washington St,32.83154107271529,-117.13839873017722,node/100088
San Diego,Point Loma,6647,Washington St,32.63889533187353,-117.11428259666647,node/100089
San Diego,Downtown,7065,Broadway,32.631352341043694,-117.06986704314807,node/100090
San Diego,Clairemont,9232,Main St,32.64045948389799,-117.05659909579451,node/100091
San Diego,Clairemont,7712,Market St,32.7659733197759,-117.01473226408007,node/100092
San Diego,Mission Valley,8370,Washington St,32.69372222705759,-117.03904358086317,node/100093
San Diego,Clairemont,7877,Market St,32.70072092717407,-117.08556696404985,node/100094
San Diego,Hillcrest,8039,India St,32.753724531094534,-117.22872076592475,node/100095
