city_name,subdivision_id,house_number,street,lat,lon,osm_id
El Centro,Downtown,716,State St,32.75907570150059,-115.51634997905371,node/200000
El Centro,Downtown,5393,Commercial Ave,32.76225589114364,-115.58822562764016,node/200063
El Centro,East,5370,State St,32.8414026183122,-115.60691745925055,node/200021
El Centro,East,3702,Imperial Ave,32.751828625849576,-115.56877919361638,node/200057
El Centro,North,1043,Broadway,32.785503230706496,-115.51638003089668,node/200049
El Centro,North,4382,Commercial Ave,32.80598054063227,-115.57661020403144,node/200064
El Centro,West,3942,Broadway,32.835397433813746,-115.59359838237776,node/200077
El Centro,West,457,State St,32.78608586114966,-115.54536370778116,node/200075
El Centro,,4904,Main St,32.84066246238469,-115.55683166184303,node/200030
El Centro,,3869,Commercial Ave,32.828202591307175,-115.52102302482588,node/200050
